,iteration,avg_score,selected_chargers
0,1,201.3437709785404,228
1,1,201.3437709785404,4306
2,1,201.3437709785404,30
3,1,201.3437709785404,3226
4,1,201.3437709785404,659
5,1,201.3437709785404,1885
6,1,201.3437709785404,2858
7,1,201.3437709785404,2260
8,1,201.3437709785404,1347
9,1,201.3437709785404,2435
10,2,140.83200119399518,64
11,2,140.83200119399518,1140
12,2,140.83200119399518,102
13,2,140.83200119399518,654
14,2,140.83200119399518,1163
15,2,140.83200119399518,2232
16,2,140.83200119399518,84
17,2,140.83200119399518,3139
18,2,140.83200119399518,2798
19,2,140.83200119399518,452
20,3,152.7454653236047,3205
21,3,152.7454653236047,4258
22,3,152.7454653236047,477
23,3,152.7454653236047,1052
24,3,152.7454653236047,1110
25,3,152.7454653236047,3699
26,3,152.7454653236047,1529
27,3,152.7454653236047,103
28,3,152.7454653236047,2309
29,3,152.7454653236047,345
30,4,163.17768036274396,2697
31,4,163.17768036274396,702
32,4,163.17768036274396,4210
33,4,163.17768036274396,3941
34,4,163.17768036274396,1054
35,4,163.17768036274396,1643
36,4,163.17768036274396,66
37,4,163.17768036274396,4209
38,4,163.17768036274396,4531
39,4,163.17768036274396,3972
40,5,178.54883235628338,2735
41,5,178.54883235628338,2026
42,5,178.54883235628338,2448
43,5,178.54883235628338,3267
44,5,178.54883235628338,4298
45,5,178.54883235628338,2379
46,5,178.54883235628338,2186
47,5,178.54883235628338,1300
48,5,178.54883235628338,1341
49,5,178.54883235628338,3961
50,6,134.6908297996821,1325
51,6,134.6908297996821,598
52,6,134.6908297996821,652
53,6,134.6908297996821,336
54,6,134.6908297996821,1145
55,6,134.6908297996821,1887
56,6,134.6908297996821,471
57,6,134.6908297996821,2471
58,6,134.6908297996821,2079
59,6,134.6908297996821,3235
60,7,156.5402613025434,4302
61,7,156.5402613025434,3191
62,7,156.5402613025434,1735
63,7,156.5402613025434,585
64,7,156.5402613025434,1680
65,7,156.5402613025434,2311
66,7,156.5402613025434,2399
67,7,156.5402613025434,1886
68,7,156.5402613025434,2858
69,7,156.5402613025434,471
70,8,168.6340283805569,757
71,8,168.6340283805569,2269
72,8,168.6340283805569,1066
73,8,168.6340283805569,2717
74,8,168.6340283805569,2455
75,8,168.6340283805569,105
76,8,168.6340283805569,2311
77,8,168.6340283805569,3178
78,8,168.6340283805569,1730
79,8,168.6340283805569,4279
80,9,128.18255471518776,3020
81,9,128.18255471518776,2753
82,9,128.18255471518776,584
83,9,128.18255471518776,4287
84,9,128.18255471518776,2394
85,9,128.18255471518776,1334
86,9,128.18255471518776,3200
87,9,128.18255471518776,201
88,9,128.18255471518776,665
89,9,128.18255471518776,4292
90,10,175.83398512226532,2084
91,10,175.83398512226532,4268
92,10,175.83398512226532,453
93,10,175.83398512226532,4198
94,10,175.83398512226532,4299
95,10,175.83398512226532,1185
96,10,175.83398512226532,4225
97,10,175.83398512226532,2760
98,10,175.83398512226532,2792
99,10,175.83398512226532,1852
